Case ID,Case Date,Day,Week,Cases,Events
2254,24/11/2010,415,59,1,1
2648,24/11/2010,415,59,1,1
4701,24/11/2010,415,59,1,1
2377,24/11/2010,415,59,1,1
2250,25/11/2010,416,59,1,1
4060,25/11/2010,416,59,1,1
2251,25/11/2010,416,59,1,1
2317,26/11/2010,417,59,1,1
2253,26/11/2010,417,59,1,1
2509,27/11/2010,418,59,1,1
2659,27/11/2010,418,59,1,1
4061,27/11/2010,418,59,1,1
2658,28/11/2010,419,59,1,1
2508,28/11/2010,419,59,1,1
2522,29/11/2010,420,59,1,1
2507,30/11/2010,421,60,1,1
3038,1/12/2010,422,60,6,1
2510,1/12/2010,422,60,1,1
2499,1/12/2010,422,60,1,1
2506,1/12/2010,422,60,1,1
2990,2/12/2010,423,60,1,1
2621,2/12/2010,423,60,1,1
2407,2/12/2010,423,60,1,1
2917,3/12/2010,424,60,1,1
2751,4/12/2010,425,60,2,1
3113,4/12/2010,425,60,2,1
2524,5/12/2010,426,60,1,1
2657,5/12/2010,426,60,1,1
4062,5/12/2010,426,60,1,1
2542,5/12/2010,426,60,1,1
2443,6/12/2010,427,60,1,1
2486,6/12/2010,427,60,1,1
2463,6/12/2010,427,60,1,1
2660,6/12/2010,427,60,1,1
2661,6/12/2010,427,60,1,1
2988,7/12/2010,428,61,1,1
636,8/12/2010,429,61,1,1
3112,8/12/2010,429,61,1,1
3498,11/12/2010,432,61,1,1
3224,11/12/2010,432,61,1,1
2752,11/12/2010,432,61,1,1
2815,12/12/2010,433,61,1,1
2663,13/12/2010,434,61,1,1
2766,13/12/2010,434,61,1,1
2662,14/12/2010,435,62,1,1
3516,15/12/2010,436,62,1,1
3288,15/12/2010,436,62,1,1
2918,15/12/2010,436,62,1,1
2792,15/12/2010,436,62,1,1
2872,16/12/2010,437,62,1,1
2718,16/12/2010,437,62,1,1
3020,16/12/2010,437,62,1,1
2434,16/12/2010,437,62,1,1
3399,17/12/2010,438,62,1,1
2743,17/12/2010,438,62,1,1
2801,20/12/2010,441,62,1,1
3368,20/12/2010,441,62,1,1
3115,20/12/2010,441,62,1,1
2786,20/12/2010,441,62,1,1
2873,20/12/2010,441,62,1,1
2985,20/12/2010,441,62,1,1
2722,20/12/2010,441,62,1,1
